author,title,container-title,publisher,editor,issued
"Glanz, J.",Bureaucracy and professionalism: The evolution of public school supervison,,Fairleigh Dickinson University Press,,1991
"Glanz, J.",History of educational supervision: Proposals and prospectus,Council of Professors of Instructional Supervision,,,"March, 1994"
"Glaser, B.G., & Strauss, A.L.",The discovery of grounded theory: Strategies for qualitative research,,Aldine Publishing Co.,,1967
"Glatthorn, A.A.",Differentiated supervision,,Association for Supervision and Curriculum Development,,1997
"Glickman, C., Gordon, S., Ross-Gordon, J.",Supervision and instructional leadership: A developmental approach,,Allyn & Bacon,,2001
"Glickman, C., Gordon, S., Ross-Gordon, J.",SuperVision and instructional leadership: A developmental approach,,Pearson,,2004
"Goldhammer, R.",Supervision: Special methods for the supervision of teachers,,"Holt, Rinehart, and Winston",,1969
"Harris, B.M.",Supervisory behavior in education,,Prentice-Hall,,1963
"Heck, R. H., Marcoulides, G. A., & Lang, P.",Principal instructional leadership and school achievement: The application of discriminant techniques,School; Effectiveness & School Improvement,,,1991
"Heifetz, R.A.",Leadership without easy answers,,Belknap Press of Harvard University Press,,1994
"Hoy, A., & Hoy, W.",Instructional leadership: A research-based guide to learning in schools,,Pearson,,2006
"Jaeger, R.M., & Tittle, C.K.","Minimum competency testing: Motives, models, measures, and consequences",,McCutchan,,1980
"Joyce, B. R., & Showers, B.",Student achievement through staff development: fundamentals of school renewal,,Longman,,1995
"Lincoln, Y.S., & Guba, E.G.",Naturalistic inquiry.,,Sage Publications,,1985
"Marzano, R.J., Pickering, D.J., Arredondo, D.E., Blackburn, G.J., Brandt, R.S., & Moffett, C.A.",Dimensions of learning: Teachers manual.,,Association for Supervision and Curriculum Development,,1992
"McEwan, E.K. (2003)",10 traits of highly effective Principals from good to great performance,,Corwin Press,,
"McMillan, J., & Schumacher, S.",Research in education: Evidence-based inquiry,,Allyn & Bacon,,2006
,A nation at risk: The imperative for educational reform.,,National Commission on Excellence in Education,,"April 1, 1983"
,What matters most: Teaching for America's future.,,National Commission on Teaching and America's Future,,"September, 1996"
,Common Core State Standards for English/Language Arts.,,National Governors Association Center for Best Practices & Council of Chief State School Officers,,2010
,Teaching children to read: an evidence-based assessment of the scientific research literature on reading and its implications for reading instruction.,,National Reading Panel,,"April, 2000"
,No Child Left Behind Act of 2001.,,,,"January 8, 2002"
"Olivia, P. & Pawlas, G.",Supervision for today's schools,,Wiley Publishing,,2004
"Patton, M.Q.",Qualitative evaluation methods,,Sage Publications,,1980
"Patton, M.Q.",Qualitative evaluation and research methods,,Sage Publications,,1990
"Peters, T., & Waterman, R.J.",In search of excellence: Lessons from American's best-run companies,,Warner,,1984
"Peters, T. & Waterman, R.J.","The strategy process: Concepts, contents and cases",,Prentice Hall,,1988
Punch K.F.,Introduction to social research: qualitative and quantitative approaches,,Sage Publications,,1998
"Reeves, D.B.",Accountability for learning how teachers and school leaders can take charge,,Advanced Learning Press,,2004
"Rutter, M., Maugham, B., Mortimore, P., Ouston, J., & Smith, A.",Fifteen thousand hours: Secondary schools and their effects on children,,Harvard University Press,,1979
"Sergiovanni, T.J.",The Principalship,,Allyn and Bacon,,1991
"Sergiovanni, T.J.",Strengthening the heartbeat,,Josey-Bass,,2005
"Stake, R. E.",Case studies.,Handbook of qualitative research,"Sage Publications, Inc.",N. K. Denzin & Y.S. Lincoln,2000
"Stake, R.E.",The art of case study research,,Sage Publications,,1995
"Stigler, J.W. & Hiebert, J.",The teaching gap,,The Free Press,,1999
"Strauss, A., & Corbin, J.",Basics of qualitative research: Grounded theory procedures and techniques,,Sage Publications,,1990
"Strong, J.",Evaluating teaching: A guide to current thinking and best practice,,Sage Publications,,1997
"Sullivan, S. & Glantz, J.",Supervision that improves teaching,,Corwin Press,,2000
,The Principal challenge: Leading and managing schools in an era of accountability,,Jossey-Bass/Wiley,"Tucker, M.S. & Codding, J.B.",2002b
"Tyack, D.B.",The one best system: A history of American urban education,,Harvard University Press,,2003
"Wiles, K.",Supervision for better schools,,Prentice-Hall,,1950
"Allen, D.",Getting things done,,Viking,,2001
"Clark, H. H.",Using Language,,Cambridge University Press,,1996
"Cutrell, E., Czerwinski, M., and Horvitz, E.","Notification, disruption, and memory: E_ects of messaging interruptions on memory and performance",,IOSPress,,2001b
"Garfinkel, H.",Studies in ethnomethodology,,Prentice-Hall,,1967
"Herzog, H.",Professor quiz: A gratification study,,Radio and the Printed Page,,1940
"Herzog, H.",What do we really know about daytime serial listeners?,Radio Research,,,1944
"Hofstadter, D.",Fluid concepts and creative analogies: Computer models of the fundamental mechanisms of thought,,Basic Books.,,1995
"Jones, W.",Keeping found things found: The study and practice of personal information management,,Morgan Kaufmann Pub,,2007
"Levinson, S.",Pragmatics,,Cambridge University Press,,1983
"McCullagh, P. and Nelder, J. A.",Generalized Linear Models,,Chapman & Hall,,1990
"Sacks, H., Je_erson, G., and Scheglo_, E. A.",Lectures on conversation,,Blackwell Oxford,,1992
"Scheglo, E. A.",Answering the phone,Pragmatics & beyond. New series,,,2004
"Shi_rin, D.",Discourse Markers,,Cambridge University Press,,1987
"Teevan, J., Capra, R., and Perez-Quinones, M. A.",Personal Information Management,How People Find Personal Information,University of Washington Press,,2007
"Wickens, C. and Hollands, J.",Engineering psychology and human performance,"Attention, Time-Sharing and Workload",Prentice Hall,,1999a
"Wickens, C. and Hollands, J.",Engineering psychology and human performance,,Prentice Hall,,1999b
"Wickens, C. and Hollands, J.",Engineering psychology and human performance,Memory and Training,Prentice Hall,,1999c
"Wickens, C. and Hollands, J.",Engineering psychology and human performance,Attention in Perception and Display Space,Prentice Hall,,1999d
"Wickens, C. and Hollands, J.",Engineering psychology and human performance,"Signal Detection, Information Theory and Absolute Judgement",Prentice Hall,,1999e
"Winograd, T.",Language as a cognitive process,,Addison-Wesley Reading,,1983
"Arthur, M. B. & Rousseau, D. M.",The boundaryless career: A new employment principle for a new organizational era,,Oxford University Press,,1996
"Blades, J. & Fondas, N.",The custom-fit workplace,,Jossey-Bass,,2010
"Clarke, A. E.",Situational analysis,Grounded theory after the postmodern turn,Sage Publications,,2005
,Situational analysis in practice,Mapping research with grounded theory,Left Coast Press,"Clarke, A. E., Friese, C., & Washburn, R.",2015
"Corbin, J. & Strauss, A.",Basics of qualitative research,,Sage Publications,,2008
"Creswell, J. W.",Qualitative inquiry and research design: Choosing among five traditions,,University of Chicago Press,,1998
"Creswell, J. W.",Research design,,Sage Publications,,2009
"Denzin, N. K.",Sociological methods,,McGraw-Hill,,1978
"Denzin, N. K.",The Research Act,,Prentice Hall,,1989
"Dobbert, M. L.",Ethnographic research: Theory and application for modern schools and societies,,Praeger,,1982
"Eagly, A.",Sex differences in social behavior: A social role interpretation,,Erlbaum,,1987
"Eagly, A. H., & Carli, L. L.",Through the labyrinth: The truth about how women leaders become leaders,,Harvard Business School Press,,2007
"Friedan, B.",The feminine mystique,,Norton,,1963
"Glesne, C.",Becoming qualitative researchers,,"Pearson Education, Inc.",,2011
"Hewlett, S. A.",Creating a life: Professional women and the quest for children,,Talk Miramax Books,,2002a
"Hewlett, S. A.",Off Ramps and On-Ramps: Keeping Talented Women on the Road to Success,,Harvard Business School Press,,2007
"Hochschild, A. R.",The time bind: When work becomes home and home becomes work,,Metropolitan/Holt,,1997
"Hochschild, A. R. & Machung, A.",The second shift: Working families and the revolution at home,,Penguin Books,,2012
"Howe, N. & Strauss, W.",Millennials rising: the next great generation,,Vintage,,2000
"Ibarra, H.",Working identity: Unconventional strategies for reinventing your career,,Harvard Business School Press,,2003
"Kamberelis, G. & Dimitriadis, G.",Focus groups. From structured interviews to collective conversations.,,Routledge,,2013
"Lincoln, Y. & Guba, E.",Naturalistic inquiry,,Sage,,1985
"Linde, C.",Life Stories. The creation of coherence.,,Oxford University Press,,1993
"Mainiero, L. A. & Sullivan, S. E.",The opt-out revolt. Why people are leaving companies to create kaleidoscope careers.,,Davies-Black Publishing,,2006
"Marshall, C. & Rossman, G. B.",Designing qualitative research,,Sage,,2006
"Mason, M. A. & Ekman, E. M.",Mothers on the fast track: How a new generation can balance family and careers,,Oxford University Press,,2007
"Mihalich-Levin, L.",Back to work after baby: How to plan and navigate a mindful return from maternity leave,,Mindful Return,,2017
"Roberts, C. M.","The dissertation journey: A practical and comprehensive guide to planning, writing and defending your dissertation",,Corwin Press,,2010
"Rossman, G. B. & Rallis, S. F.",Learning in the field: An introduction to qualitative research,,Sage Publications,,2003
"Sandberg, S.","Lean in: Women, work and the will to lead.",,Alfred A. Knopf.,,2013
"Sandberg, S.",Lean in for graduates.,,Alfred A. Knopf.,,2014
"Schein, E. H.",Organizational culture and leadership,,Wiley,,2016
"Soares, R. & Mulligan-Ferry, L.",2013 Catalyst census: Fortune 500 women board directors.,,Catalyst,,"2013, December 10"
"Spradley, J. P.",The ethnographic interview.,,Rinehart & Winston,,1979
"Stake, R. E.",Multiple case study analysis.,,The Guilford Press,,2006
"Stone, P.",Opting out? Why women really quit careers and head home.,,University of California Press,,2007
"Wood, W. L. & Eagly, A. H.",Gender,Handbook of social psychology,Oxford University Press,"Gender. In S. T. Fiske, D. T. Gilbert, & G. Lindzey",2010
"Zel'dovich, Y. B., and Y. P. Razier",Physics of Shock Waves and High-Temperature Hydrodynamic Phenomena,Academic,,,1967
,Nonlinear Programming: Analysis and Methods,,Dover Publications,,2003
"Banzhaf, W., Francone, F. D., Keller, R. E., & Nordin, P.",Genetic programming: an introduction: on the automatic evolution of computer programs and its applications,,Morgan Kaufmann Publishers Inc.,,1998
"Bjorck, A.",Numerical Methods for Least Squares Problems,,SIAM: Society for Industrial and Applied Mathematics,,1996
"Burbidge, G., & Hewitt, A.",,Variability of Blazars,,,1992
"Frank, J., King, A., & Raine, D.",Accretion power in astrophysics.,,,"Frank, J., King, A., & Raine, D.",1992
,Rank Correlation Methods,,,"Kendall, M. G.",1970
"Lonsdale, C. J., Farrah, D., & Smith, H. E.",Ultraluminous Infrared Galaxies,,Springer Verlag,"Mason, J. W.",2006
"Osterbrock, D. E., & Ferland, G. J.",Astrophysics of gaseous nebulae and active galactic nuclei: 2 edition,,University Science Books,"Osterbrock, D. E.",1989
,Astrophysics of gaseous nebulae and active galactic nuclei,,,"Osterbrock, D. E. & Ferland, G. J.",2006
,An Introduction to Active Galactic Nuclei,,Cambridge University Press,"Peterson, B. M.",1997
"Searle, S.R., Casella, G., and McCulloch, C.E.",Variance components.,,John Wiley & Sons Inc.,,1992
"Zobel, B.J. & Talbert, J.",Applied forest tree improvement.,,John Wiley and Sons,,1984
"Van  Buijtenen,  J.  P.  &  Bridgwater,  F.",Mating  and  genetic  test  designs.,Advanced  generation  breeding  of  forest  trees.  Southern  Coop.  Series  Bull.,Agr. Exp. Stn. Baton Rouge,,
"White, T. L. & Hodge, G. R.",Predicting breeding values with applications in forest tree improvement.,,Kluwer Academic Pub.,,1989
"Falconer, D.S.",Introduction to quantitative genetics.,,Longman & Co.,,1989
"Yin, R. K.",Case Study Research.,,Sage Publications,,2002
"Hebert. M.. Kweon. I., and Kanade. T.",3-d vision techniques for autonomous vehicles.,Vision and Navigation: The Carnegie Mellon Navlab.,Kluwer Academic Publishers,Thorpe. C. E.,1990
Kluge. K. and Thorpe. C.,Explicit models for robot road following.,Vision and Navigation: The Carnegie Mellon Navlab,Kluwer Academic Publishers,Thorpe. C. E.,1990
"Newell, A. and Simon. H. A.",GPS. a program that simulates human thought.,Computers and Thought,McGraw-Hill,Feigenbaum. E. A. and Feld man. J.,1963
Pomerleau. D.,ALVINN: An autonomous land vehicle in a neural network.,Advances in Neural Information Processing Systems,,Touretzky. D.,1989
Stentz. A.,The CODGER system for mobile robot navigation.,Vision and Navigation: The Carnegie Mellon Navlab.,Kluwer Academic Publishers,Thorpe. C.,1990
J. P. Bardet,Introduction to computational granular mechanics.,Behavior of granular materials,Springer-Verlag,B. Cambou,1998
C. Thornton and C. W. Randall,Applications of theoretical contact mechanics to solid particle system simulation.,Micromechanics of Granular Material,Elsevier Science Publishers,M. Satake and J. T. Jenkins,1988
"Antony, M. M., & Barlow, D. H.",Specific phobia.,International handbook of cognitive and behavioural treatments for psychological disorders,Pergamon/Elsevier Science Ltd.,"Caballo, V. E.",1998
"Mineka, S., Rafaeli, E. & Yovel, I.",Cognitive biases in anxiety and depression.,Handbook of Affective Sciences,Oxford University Press,"R.J. Davidson, K.R. Scherer, & H.H. Goldsmith",2002
"Mogg, K., & Bradley, B.",Selective processing of nonverbal information in anxiety: Attentional biases for threat.,Nonverbal behavior in clinical settings,Oxford University Press,"Philippot, P., Feldman, R., & Coats, E.",2003
R. Dechter,Constraint Networks,Encyclopedia of Artificial Intelligence,Wiley,S. C. Shapiro,December 1991
M. J. Matric,Behavior-Based Robotics,MIT Encyclopedia of Cognitive Science,MIT Press,R. A. Wilson and F. C. Keil,April 1999
"R. S. Stansbury, E. L. Akers, and A. Agah",Simulation and Testbeds of Autonomous Robots in Harsh Environments,"Software Engineering for Experimental Robots, ser. Springer Tracts on Advanced Robotics",Springer,D. Brugali,2007
"Alchian, Armen A.",Some Implications of Recognition of Property Right Transaction Costs,Economics and Social Institutions,,,1979
"Buchanan, James",La scienza delle finanze: The Italian Tradition In Fiscal Theory,Economics: Between Predictive Science and Moral Philosophy,Texas A&M University Press,Buchanan J.,1960
"Cardoso, E.",Macroeconomic Environment and Capital Formation in Latin America,Striving for Structural Adjustment: The Role of Capital Formation,The World Bank,"L. Serven, and A. Solimano",1993
"Larrain, F., and Vergara, R.",Investment and Macroeconomic Adjustments: The Case for East Asia,Striving for Structural Adjustment: The Role of Capital Formation,The World Bank,"L. Serven, and A. Solimano",1993
"Rothbard, Murray N.",Professor Hebert on Entrepreneurship,The Logic of Action Two: Applications and Criticism from the Austrian School. Aldershott,Edward Elgar,,1985
"Dennis, Jr., J. E.",Some computational techniques for the nonlinear least squares problem,Numerical Solution of Systems of Non-linear Algebraic Equations,Academic Press,"Hall, G. D. B.andA, C.",1973
"Powell, M. J. D.","A new algorithm for unconstrained optimization,",Non-linear Programming,Academic Press,"Rosen, J. B., Mangasarian, O. L., and Ritter, K.",1970
"Antonio, R. J.",The Cultural Construction of Neoliberal Globalization.,The Blackwell Companion to Globalization,Blackwell Reference Online: Blackwell Publishing,G. Ritzer,2007
"Appelbaum, R. P., Parker, R., Cao, C , & Gereffi, G.",China's (Not-So-Hidden) Developmental State: Becoming a Leading Nanotechnology Innovator in the 21st Century.,State of Innovation: The U.S. Government's Role in Technology Development,Paradigm Publishers,F. Block & M. R. Keller,2011
"Athreye, S. S.",The Indian Software Industry.,"From Underdogs to Tigers: the rise and growth of the software industry in Brazil, China, India, Ireland, and Israel",Oxford University Press,A. Arora & A. Gambardella,2005
"Block, F.",The Roles of the State in the Economy.,The Handbook of Economic Sociology.,Princeton University Press,N. J. Smelser & R. Swedberg,1994
"Block, F., & Evans, P.",The State and the Economy,The Handbook of Economic Sociology,Princeton University Press,N. J. Smelser & R. Swedberg,2005
"Brenner, N., & Theodore, N.",Cities and the geographies of 'actually existing neoliberalism',Spaces of Neoliberalism: urban restructuring in North America and Western Europe,Blackwell Publishers Ltd.,N. Brenner & N. Theodore,2002
"Chellaraj, G., Maskus, K. E., & Mattoo, A.","Skilled Immigrants, Higher Education, and U.S. Innovation","International Migration, Remittances & the Brain Drain",World Bank & Palgrave MacMillian,C. Ozden & M. Schiff,2006
"Cowhey, P., & Richards, J.",The State after Statism: new state activities in the age of liberalization.,The State after Statism: new state activities in the age of liberalization,Harvard University Press,J. D. Levy,2006
"D'Costa, A. P., & Sridharan, E.","Conclusion: Global Links, Domestic Market and Policy for Development","India in the Global Software Industry: Innovation, Firm Strategies and Development",Palgrave Macmillian,A. P. D'Costa & E. Sridharan,2004
"Debroy, B.",Adjusting to a Knowledge Economy,Beyond Degrees: Finding Success in Higher Education,HarperCollins Publishers India,I. Pande,2008
"DeLong, J. B.",India since Independence: An Analytic Growth Narrative.,D. Rodrik; n Search of Prosperity: Analytic Narratives on Economic Growth,Princeton University Press,,2003
"Evans, P. B.","State Structures, Government-Business Relations, and Economic Transformation.",Business and the State in Developing Countries,Cornell University Press,S. Maxfield & B. R. Schneider,1997
"Frank, A. G.",The Development of Underdevelopment,Dependence and Underdevelopment: Latin America's Political Economy,Anchor Books,"J. Cockcroft, A. G. Frank & D. Johnson",1972
"Gereffi, G.","The Global Economy: Organization, Governance, and Development.",The Handbook Of Economic Sociology,Princeton University Press,N. J. S. R. Swedberg,2005
"Guha, R.",Crucibles of Modernity.,Beyond Degrees: Finding Success in Higher Education,HarperCollins Publishers India,I. Pande,2008
"Herring, R.",Embedded Particularism: India's Failed Developmental State.,The Developmental State,Cornell University Press,M. Woo-Cumings,1999
"Howell, C.",The State and the Reconstruction of Industrial Relations Institutions after Fordism: Britain and France Compared.,The State after Statism: new state activities in the age of liberalization.,Harvard University Press,J. D. Levy,2006
"Jessop, B.",Knowledge as a Fictitious Commodity: Insights and Limits of a Polanyian Perspective.,Market Economy as a Political Project. Reading Karl Polanyi for The 21st Century,Palgrave,A. Bugra & M. Mendell,2007
"Levy, J. D.",The State Also Rises: The roots of Contemporary State Activism.,The State after Statism: new state activities in the age of liberalization,Harvard University Press,J. D. Levy,2006
"Manimala, M. J.",Evolution of the Bangalore ICT Cluster: A stage theory based on the crystal growth model.,"Knowledge Matters: Technology, Innovation and Entrepreneurship in Innovation Networks and Knowledge Clusters.",Palgrave Macmillian,E. G. Carayannis & P. Formica,2008
"Mirchandani, K., & Maitra, S.",Learning Imperialism through training in transnational call centres.,"Educating the Global Workforce Knowledge Work, Knowledge Workers",Routledge,T. Fenwick,2007
"Parthasarathi, A., & Joseph, K. J.",Innovation Under Export Orientation.,"India in the Global Software Industry: Innovation, Firm Strategies and Development.",Palgrave Macmillian,A. P. D'Costa & E. Sridharan,2004
"Patnaik, U.",Commercialization under Colonial Conditions.,The Long Transition: Essays on Political Economy.,Tulika Books,U. Patnaik,1999
"Pitroda, S.",Of Grades and Graduates.,Beyond Degrees: Finding Success in Higher Education.,HarperCollins Publishers India,I. Pande,2008
"Spivak, G.",Can the Subaltern Speak?,Marxism and the Interpretation of Culture,Macmillian,C. Nelson & L. Grossberg,1988
"Wade, R.",ndustrial Policy in East Asia: Does it Lead or Follow the Market?,Manufacturing Miracles: Paths of Industrialization in Latin America and East Asia,Princeton University Press,G. G. a. D. Wyman,1990b
"Annunziata, J.",Linking teacher evaluation and professional development.,Evaluating teaching: A guide to current thinking and best practice,Corwin Press,J. Stronge,1997
"Bandura, A.",Self-Efficacy.,Encyclopedia of human Behavior,Academic Press,V.S. Ramachaudran,1994
"Conley, D. & Goldman, P.",Ten propositions for facilitative leadership.,Reshaping the Principalship: Insights from transformational reform efforts,Corwin Press,"Murphy, J. & Louis, K.S.",1994
"Denzin, N. K., & Lincoln, Y. S.",,The landscape of qualitative research : theories and issues,Sage,"Norman K. Denzin, Yvonna S. Lincoln",2003
"Elmore, R. F., Abelmann, C. H., & Fuhrman, S. H.",The New Accountability in State Education Reform: From Process to Performance.,Holding schools accountable: Performance-based reform in education,The Brookings Institution,H. F. Ladd,1996
"Hoy, A.W., & Davis, H.A.",Teacher self-efficacy and its influence on the achievement of adolescents.,Self-efficacy beliefs of adolescents,Information Age Publishing,"Pajares, F., Urdan, T., Urdan, T.C.",2006
"Hunter, M.","Knowing, teaching, and supervising.",Using What We Know About Teaching,Association for Supervision and Curriculum Development,P. Hosford,1984
"King, M.B.",School-and district-level leadership for teacher workforce development: Enhancing teacher learning and capacity.,,Developing the Teacher Workforce: 103rd Yearbook of the NSSE Part I,M.A. Smylie & D. Miretsky,2004
"Locke, E.",The motivation to work: What we know.,Advances in motivation and achievement,JAI Press,M. Maehr & P. Pintrich,1997
"Louis, K.S., Krause, S.D., & Marks, H.M.","School-wide professional community: Teachers' work, intellectual quality and commitment.",Authentic achievement: Restructuring schools for intellectual quality,Jossey-Bass,F.M. Newman and Associates,1996
"Murphy, J.",The reform of school administration: Pressures and calls for change.,The reform of American public education in the 1980's: Categories and cases,McCutchan,J. Murphy,1990
"Pace, S.",Writing the self into research: Using grounded theory analytic strategies in autoethnography.,"TEXT Special Issues: Creativity: Cognitive, Social and Cultural Perspectives",,"McLoughlin, N. & Brien, D.L.",2012
"Smyth, J.",Is supervision more than the surveillance of instruction?,"Educational supervision: Perspectives, issues, and controversies",Christopher-Gordon,J. Glanz & R. Neville,1997
"Baddeley, A. D.",Working memory.,"Attention: Selection, awareness and control. A tribute to Donald Broadent",Oxford University Press,"et al., M. S. G.",1995
"Clark, H. H. and Brennan, S. A.; Resnick, L., Levine, J., and Teasly, S.",Grounding in communication.,Perspectives on socially shared cognition,APA Books,,1991
"Garfinkel, H.","A conception of, and experiments with, ""trust"" as a condition of stable concerted actions.",Motivation and social interaction: cognitive approaches,Ronald Press,"Harvey, O.",1963
"Jones,W. and Teevan, J.",Introduction.,Personal Information Management,University of Washington Press,"Jones, W. and Teevan, J.",2007
"Kelly, D. and Teevan, J.",Understanding what works: Evaluating pim tools.,Personal Information Management,University of Washington Press,"Jones, W. and Teevan, J.",2007
"Roda, C.",Human attention in digital environments.,"Human Attention in Digital Environments, chapter Human attention and its implications for human computer interaction",Cambridge University Press,"Roda, C.",2011
"Whittaker, S., Bellotti, V., and Gwizdka, J.",Everything through email.,Personal Information Management.,University of Washington Press,"Jones, W. and Teevan, J.",2007
"Eagly, A. H., Wood, W., & Diekman, A. B.",Social role theory of sex differences and similarities: A current appraisal.,The developmental social psychology of gender,Erlbaum,T. Eckes & H. M. Trautner,2000
"Gibbs, G. R.",Analyzing qualitative data.,The Sage qualitative research kit,Sage Publications,U. Flick,2007
"Hall, D. T. & Mirvis, P. M.",The new protean career: Psychological success and the path with a heart.,The career is dead-long live the career: A relational approach to career,Jossey-Bass,Douglas T. Hall & associates,1996
"Hochschild, A. R. & Machung, A",The second shift: Working parents and the revolution at home.,,Viking Press,,1989
"Jones, B.","Introduction: Women, work, and motherhood in American history.",Women who opt out,University Press,"Jones, B.",2012
"Kite, M. E., Deaux, K. & Haines, E. L.",Gender stereotypes.,Psychology of women: A handbook of issues and theories,Praeger Publishers,F. Denmark & M. Paludi,2008
"Roulston, K.",Conversational Interviewing.,The SAGE encyclopedia of qualitative research methods,Sage Publications,L. Givens,2008
"Stone, P. & Hernandez, L.",Toward a better understanding of professional women's decision to head home.,Women who opt out: The debate over working mothers and work-family balance,NYU Press,B. Jones,2012
"Williams, J. & Dolkas, J.",The Opt-Out Revolution Revisited.,Women who opt out,New York University Press,B. Jones,2012
"Ramaswamy, V. et al.","Radiative forcing of climate change, Climate Change 2001: The Scientific Basis.","Contribution of Working Group I to the Third Assessment Report of the Intergovernmental Panel on Climate Change,",Cambridge Univ. Press,J. T. Houghton et al.,2001
"Armitage, P. J.",Astrophysics and Space Science Library,Supermassive Black Holes in the Distant Universe,,A. J. Barger,2004
"Arnaud, K. A.",Astronomical Data Analysis Software and Systems,Astronomical Society of the Pacific Conference Series,,"V, ed. G. H. Jacoby & J. Barnes",1996
"Barlow, T. A., Hamann, F., & Sargent, W. L. W.",Mass Ejection from Active Galactic Nuclei,Astronomical Society of the Pacific Conference Series,,"N. Arav, I. Shlosman, & R. J. Weymann",1997
"Begelman, M. C.",,Astrophysics of Active Galaxies and Quasi-Stellar Objects,,J. S. Miller,1985
"Blandford, R. D., & Rees, M. J.",,BL Lac Objects,,A. M. Wolfe,1978
"Brandt, W. N., & Kaspi, S.",Spectral Line Shapes,American Institute of Physics Conference Series,,C. A. Back,2002
"Charlton, J. C.",Hubble's Science Legacy: Future Optical/Ultraviolet Astronomy from Space,Astronomical Society of the Pacific Conference Series,,"K. R. Sembach, J. C. Blades, G. D. Illingworth, & R. C. Kennicutt Jr.",2003
"Collin, S., & Zahn, J. P.",Activity in Galaxies and Related Phenomena,IAU Symposium,,"Y. Terzian, E. Khachikian, & D. Weedman",1999
"Eracleous, M.",AGN Physics with the Sloan Digital Sky Survey,Astronomical Society of the Pacific Conference Series,,G. T. Richards & P. B. Hall,2004
"Espey, B., & Andreadis, S.",Quasars and Cosmology,Astronomical Society of the Pacific Conference Series,,G. Ferland & J. Baldwin,1999
"Fan, J. H., Guo, Q., Hua, T. X., Liu, Y., Su, J. B., Zhang, Y. W., Zhang, J. Y., & Zhang, J. S.",The Central Engine of Active Galactic Nuclei,Astronomical Society of the Pacific Conference Series,,L. C. Ho & J.-W. Wang,2007
"Gelbord, J. M., et al.",Extragalactic Jets: Theory and Observation from Radio to Gamma Ray,Astronomical Society of the Pacific Conference Series,,T. A. Rector & D. S. De Young,2008
"Giustini, M., Cappi, M., Chartas, G., Eracleous, M., Palumbo, G. G. C., & Vignali, C.",,Astronomical Society of the Pacific Conference Series,,"L. Maraschi, G. Ghisellini, R. Della Ceca, & F. Tavecchio",2010
"Hamann, F., Barlow, T. A., Cohen, R. D., Junkkarinen, V., & Burbidge, E. M.",Mass Ejection from Active Galactic Nuclei,Astronomical Society of the Pacific Conference Series,,"N. Arav, I. Shlosman, & R. J. Weymann",1997
"Hamann, F., & Sabra, B.",AGN Physics with the Sloan Digital Sky Survey,Astronomical Society of the Pacific Conference Series,,G. T. Richards & P. B. Hall,2004
"Ho, L.",Observational Evidence for the Black Holes in the Universe,Astrophysics and Space Science Library,,S. K. Chakrabarti,1999
"Ho, L. C.",The Physics of Liners in View of Recent Observations,,Astronomical Society of the Pacific Conference Series,"M. Eracleous, A. Koratkar, C. Leitherer, & L. Ho",1996
"Ho, L. C.",Active Galactic Nuclei: From Central Engine to Host Galaxy,,Astronomical Society of the Pacific Conference Series,"S. Collin, F. Combes, & I. Shlosman",2003
"Holweger, H.",,"Joint SOHO/ACE workshop ""Solar and Galactic Composition""",American Institute of Physics Conference Series,R. F. Wimmer Schweingruber,2001
"Lacy, M.",Active Galactic Nuclei: From Central Engine to Host Galaxy,,Astronomical Society of the Pacific Conference Series,"S. Collin, F. Combes, & I. Shlosman",2003
"Lavalley, M., Isobe, T., & Feigelson, E.",Astronomical Data Analysis Software and Systems I,,Astronomical Society of the Pacific Conference Series,"D. M. Worrall, C. Biemesderfer, & J. Barnes",1992
"Maiolino, R., & Risaliti, G.",The Central Engine of Active Galactic Nuclei,,Astronomical Society of the Pacific Conference Series,L. C. Ho & J. W. Wang,2007
"Mason, K. O., et al.",,,Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series,O. H. Siegmund & M. A. Gummin,1996
"Moretti, A., et al.",,Presented at the Society of Photo-Optical Instrumentation Engineers (SPIE) Conference,Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series,O. H. W. Siegmund,2005
"Osmer, P. S., & Shields, J. C.",,Quasars and Cosmology,Astronomical Society of the Pacific Conference Series,G. Ferland & J. Baldwin,1999
"Poutanen, J.",,Theory of Black Hole Accretion Disks,,"M. A. Abramowicz, G. Bjornsson, & J. E. Pringle",1998
"Schmidt, M.",,Quasars and high-energy astronomy,,"K. N. Douglas, I. Robinson, A. Schild, E. L. Schucking, J. A. Wheeler, & N. J. Woolf",1969
"Shields, J. C.",The Central Engine of Active Galactic Nuclei,,Astronomical Society of the Pacific Conference Series,L. C. Ho & J.-W. Wang,2007
"Turnshek, D. A.",QSO Absorption Lines: Probing the Universe,,,"J. C. Blades, D. A. Turnshek, & C. A. Norman",1988
"Urry, C.",AGN Physics with the Sloan Digital Sky Survey,,Astronomical Society of the Pacific Conference Series,G. T. Richards & P. B. Hall,2004
"Veilleux, S.",AGN Surveys,IAU Colloq.,Astronomical Society of the Pacific Conference Series,"R. F. Green, E. Y. Khachikian, & D. B. Sanders",2002
"Wampler, E. J.",Objects of High Redshift,IAU Symposium,,G. O. Abell & P. J. E. Peebles,1980
"Worrall, D. M., & Birkinshaw, M.",Physics of Active Galactic Nuclei at all Scales,Lecture Notes in Physics,Springer Verlag,D. Alloin,2006
